,MarketCap,PriceToBook,Beta,DividendYield,Return_6m,Momentum_6m,Volatility,BookValue,PE,PB,ROE,ROA,DebtToEquity
SNA,16506177536,2.9897141,0.768,2.72,0.46067583021107145,0.8863636363636364,0.32985837521796046,105.582,16.526701,2.9897141,0.19538,0.10828,23.477
SO,99402162176,2.9344895,0.377,3.21,0.0675924628885201,0.2431818181818182,0.21225010059274038,30.789,21.666666,2.9344895,0.12244,0.03463,188.378
LUV,17768421376,1.8972862,1.175,2.38,0.2853550069059693,0.6659090909090909,0.4704468348132265,16.434,35.03371,1.8972862,0.05593,0.009330001,85.371
SWK,9695862784,1.0964344,1.19,5.57,0.15880749130933583,0.41363636363636364,0.3167561534483641,57.158,26.555084,1.0964344,0.04032,0.02797,81.597
STT,26752923648,1.1706494,1.436,3.32,0.2453334117129023,0.5909090909090909,0.40087172513983615,80.135,10.564189,1.1706494,0.1122,0.0080699995,
STLD,19563055104,2.2222412,1.455,1.53,0.7340726618329826,0.9818181818181818,0.42329309313921676,58.729,17.149801,2.2222412,0.13199,0.05924,47.5
STE,22246928384,3.4671626,0.957,1.01,-0.012729068945150584,0.09772727272727273,0.24605438325204698,65.307,36.46216,3.4671626,0.096140005,0.05589,36.087
SYK,145574297600,6.9552836,0.937,0.87,0.10446338957087466,0.31136363636363634,0.2834283782682573,54.767,51.40621,6.9552836,0.14259,0.07486,82.924
SMCI,19091279872,2.9838636,1.356,,0.1875210827564984,0.46136363636363636,0.43797539950877457,10.721,17.38587,2.9838636,0.20062,0.083739996,39.067
SYF,21175949312,1.3783108,1.415,2.23,0.5926437572486,0.95,0.4669395916863804,40.361,7.620548,1.3783108,0.18597999,0.02437,
